today,interviewer,municipality,hh_m/male_infant,hh_m/male_young,hh_m/male_child,hh_m/male_adult,hh_m/male_senior,hh_f/female_infant,hh_f/female_young,hh_f/female_child,hh_f/female_adult,hh_f/female_senior,hh_males,hh_females,hh_total,hh_confirm,land_tenure,single_headed,single_headed_sex,pregnant_lactating,disabled_ill_male,disabled_ill_female,pre_income_primary,pre_income_primary_other,post_income_primary,post_income_primary_other,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B11,B12,B13,B14,C15,C16,C17,C18,C19,C20,D21,D22,D23,D24,D25,D26,D27,D28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,meta/instanceID,_uuid,_submission_time
12/13/14,John Paul Bascar,PH061902003_CA014,0,0,0,0,0,0,0,0,0,1,0,1,1,OK,free_private,yes,female,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,neither,disagree,na,neither,neither,neither,agree,neither,disagree,agree,agree,agree,agree,disagree,disagree,na,neither,neither,agree,agree,neither,agree,agree,na,disagree,na,neither,neither,neither,agree,agree,agree,neither,disagree,neither,agree,agree,uuid:e42be1f3-b9d0-4b33-93d5-9ce8e3b6e5b7,e42be1f3-b9d0-4b33-93d5-9ce8e3b6e5b7,2014-12-14T03:19:27
12/13/14,John Paul Bascar,PH061902022_CA071,0,0,0,2,0,0,0,0,2,0,2,2,4,OK,free_private,no,n/a,0,1,0,agriculture,n/a,agriculture,n/a,neither,neither,agree,na,neither,neither,neither,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neither,neither,neither,na,na,na,neither,agree,agree,agree,agree,agree,agree,agree,neither,agree,agree,uuid:4015ec12-90cc-4947-a8f7-4ca4e3c22c9c,4015ec12-90cc-4947-a8f7-4ca4e3c22c9c,2014-12-14T03:19:28
12/13/14,John Paul Bascar,PH061902022_CA078,0,0,0,1,0,0,0,3,1,0,1,4,5,OK,ancestral_domain,yes,male,0,0,0,agriculture,n/a,agriculture,n/a,neither,disagree,disagree,agree,neither,disagree,disagree,agree,na,disagree,agree,agree,agree,agree,neither,agree,neither,agree,agree,agree,agree,neither,agree,neither,neither,na,neither,neither,neither,agree,agree,agree,agree,agree,neither,neither,agree,agree,uuid:dcf06fba-8c60-499e-a799-28c1b482eeed,dcf06fba-8c60-499e-a799-28c1b482eeed,2014-12-14T03:19:29
12/13/14,John Paul Bascar,PH061902002_CA006,0,1,0,1,0,0,0,0,1,0,2,1,3,OK,free_private,yes,male,0,0,0,agriculture,n/a,agriculture,n/a,disagree,disagree,neither,neither,neither,disagree,neither,agree,na,na,na,na,agree,agree,neither,neither,neither,neither,neither,neither,disagree,neither,neither,agree,neither,neither,neither,neither,neither,neither,agree,agree,agree,neither,neither,neither,agree,agree,uuid:c9f61cad-3348-477d-a8de-4c8493de3425,c9f61cad-3348-477d-a8de-4c8493de3425,2014-12-14T03:19:30
12/13/14,Mary Shyane Servidad,PH061910006_CA284,0,0,0,1,0,0,0,0,1,0,1,1,2,OK,own_rent,no,n/a,0,0,1,agri_worker,n/a,agri_worker,n/a,agree,agree,disagree,agree,agree,agree,agree,agree,unsure,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,na,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:ab49bfee-4d15-4da8-b192-247817b155bf,ab49bfee-4d15-4da8-b192-247817b155bf,2014-12-14T03:19:45
12/13/14,Mary Shyane Servidad,PH061910011_CA303,0,0,0,5,1,0,0,1,0,1,6,2,8,OK,own,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,disagree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,na,na,disagree,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,neither,agree,agree,agree_strongly,uuid:11b66b1f-70b9-4064-8c03-210668ab65f5,11b66b1f-70b9-4064-8c03-210668ab65f5,2014-12-14T03:19:47
12/13/14,Mary Shyane Servidad,PH061902012_CA024,0,0,1,2,0,0,0,0,1,0,3,1,4,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,agree,agree,agree,agree,agree_strongly,agree,agree,agree,agree,agree,agree,uuid:4895d42d-792d-4ffa-951e-5bced046e1df,4895d42d-792d-4ffa-951e-5bced046e1df,2014-12-14T03:19:49
12/13/14,Mary Shyane Servidad,PH061902012_CA019,0,0,1,1,0,0,0,2,1,0,2,3,5,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,disagree,disagree,na,agree,disagree,agree,agree,unsure,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,na,agree,agree,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:b57b76e3-3ff5-45a7-bb82-40cf5a13600c,b57b76e3-3ff5-45a7-bb82-40cf5a13600c,2014-12-14T03:19:50
12/13/14,Mary Shyane Servidad,PH061902016_CA038,0,0,1,0,0,0,0,0,1,0,1,1,2,OK,own_rent,yes,female,0,0,0,daily_wage,n/a,daily_wage,n/a,disagree,agree,disagree,na,disagree,disagree,disagree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:2fe38134-4e23-40cd-b25c-7afc32664fed,2fe38134-4e23-40cd-b25c-7afc32664fed,2014-12-14T03:19:51
12/13/14,Mary Shyane Servidad,PH061902016_CA037,0,0,2,1,0,0,0,2,0,0,3,2,5,OK,ancestral_domain,yes,male,0,0,0,fishing,n/a,agri_worker,n/a,agree,disagree,agree,na,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,na,disagree,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:10328933-7db3-4a25-8837-c85b2211bf6b,10328933-7db3-4a25-8837-c85b2211bf6b,2014-12-14T03:19:52
12/13/14,Mary Shyane Servidad,PH061902003_CA015,0,1,0,1,0,0,0,2,2,0,2,4,6,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neither,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree_strongly,agree,agree,agree,agree,agree,agree,neither,uuid:f3f7c652-3520-4f80-a9a3-5e05ea659897,f3f7c652-3520-4f80-a9a3-5e05ea659897,2014-12-14T03:19:54
